country,iso_code,year,forest_area_sqkm,forest_loss_sqkm,deforestation_rate_percent,agricultural_land_sqkm,agricultural_expansion_sqkm,cattle_count,cattle_density
DR Congo,COD,2021,2685021.68,1319.99,0.0492,1156504.69,2980.9,2227582.69,3.0479
Argentina,ARG,2004,5248685.63,1606.4,0.0306,3097228.95,3102.78,40766723.36,49.4871
Peru,PER,2019,7381711.08,1560.21,0.0211,2913640.87,1339.01,22790836.66,85.6296
India,IND,2002,511078.87,452.52,0.0885,169249.03,123.49,42864893.55,69.1359
DR Congo,COD,2009,7035063.39,1311.8,0.0186,2367332.9,931.24,29957065.95,150.9534
Brazil,BRA,2013,2750449.66,625.83,0.0228,566764.61,1041.64,13519761.87,25.1809
Colombia,COL,2016,6758491.11,1264.6,0.0187,2631746.01,1103.21,45691960.28,60.0236
Vietnam,VNM,2010,7660193.93,2730.69,0.0356,1762485.06,2687.2,25675496.27,54.5898
Indonesia,IDN,2006,5198813.46,3151.06,0.0606,2628392.14,3997.49,10136556.66,10.5651
Vietnam,VNM,2018,1573939.41,1443.65,0.0917,557001.53,2976.5,35242870.13,66.411
DR Congo,COD,2017,5035752.75,2628.53,0.0522,2384513.5,1396.73,28743209.96,139.3919
Argentina,ARG,2005,3499962.09,4004,0.1144,1642264.53,2709.05,48676612.33,152.082
India,IND,2018,4860149.94,3278.25,0.0675,1745322.42,3407.72,48171468.93,61.134
Indonesia,IDN,2011,3085173.22,3832.53,0.1242,1627485.4,4980.85,18816349.29,33.3338
Mexico,MEX,2001,3251906.45,1761.12,0.0542,915492.37,1479.23,25545098.28,82.5341
DR Congo,COD,2018,7091833.86,2784.28,0.0393,2856701.76,3883.13,515404.79,0.551
India,IND,2014,6048458.65,1326.53,0.0219,2984018.21,1108.92,42841288.73,52.3452
Argentina,ARG,2008,1775862.42,1963.89,0.1106,807951.64,2696.91,2949255.39,4.5764
Peru,PER,2018,2138146.31,867.28,0.0406,804544.72,1175.37,6218391.94,38.5631
Argentina,ARG,2002,1394308.66,2056.94,0.1475,475444.35,3768.02,2869136.14,20.5445
Vietnam,VNM,2012,2929586.69,2294.99,0.0783,1661679.92,4070.24,26447151.4,30.2295
Indonesia,IDN,2012,3408368.68,1319.64,0.0387,1144839.54,953.37,38499077.92,61.6348
Vietnam,VNM,2011,3279848.33,3016.59,0.092,1020028.36,4427.32,6313947.19,14.5407
Argentina,ARG,2009,5449205.39,980.23,0.018,2766532.3,141.15,34641403.6,61.3003
Vietnam,VNM,2021,5309603.52,1402.45,0.0264,3159778.78,2573.88,39061517.25,46.2176
Thailand,THA,2008,7151277.93,869.87,0.0122,2970461.25,1250.71,4907301.89,7.2316
Mexico,MEX,2007,5871926.06,2425.65,0.0413,2121077.85,3406.86,36556678.59,41.2807
Argentina,ARG,2007,7889416.18,2102.94,0.0267,4174215.22,2552.23,19159269.74,33.6665
Mexico,MEX,2002,7329018.79,725.08,0.0099,4260678.27,1436.03,1969490.97,2.1801
Thailand,THA,2004,7111627.18,3526.67,0.0496,3309676.59,3157.94,47301350.3,88.917
Thailand,THA,2000,5101757.33,1426.45,0.028,2886421.7,1648.56,29445359.84,59.4063
Thailand,THA,2020,1171474.1,1214.05,0.1036,425479.65,1854.7,38789061.01,48.0566
Vietnam,VNM,2000,7814294.99,1126.25,0.0144,3735732.04,1232.26,12217478.1,25.0722
India,IND,2005,5093036.52,439.6,0.0086,2241043.33,629.26,3472949.85,4.0971
Colombia,COL,2020,7957109.51,937.76,0.0118,2512520.85,891.46,38504085.75,50.1557
DR Congo,COD,2016,5544968.48,2618.22,0.0472,2266132.28,4072.39,248179.29,0.2719
India,IND,2007,6567344.75,1336.93,0.0204,3396372.03,2058.47,16067901.46,22.1879
Indonesia,IDN,2006,7211980.02,3209.03,0.0445,3569029.86,4192.74,25126271.32,34.0068
Indonesia,IDN,2007,5321299.39,1339.33,0.0252,1289712.2,1585.97,33786211.04,34.4382
Peru,PER,2016,4026933.91,3613.89,0.0897,1886194.51,4421.97,36056326.06,37.4662
Brazil,BRA,2016,4755437.12,535.9,0.0113,2332321.63,109.98,38767667.55,39.1774
Mexico,MEX,2022,4151405.08,557.96,0.0134,1594237.79,281.77,19309352.29,70.9128
Vietnam,VNM,2018,679554.39,679.04,0.0999,211179.78,760.22,11150469.72,15.7411
Vietnam,VNM,2002,6289649.57,2820.47,0.0448,2138495.23,4397.35,37330645.81,101.928
Peru,PER,2017,3451428.07,832.05,0.0241,1818501.36,737.47,41956225.43,44.5934
Indonesia,IDN,2020,7148134.94,2403.2,0.0336,4105194.6,4965.04,29620526.81,51.5594
Indonesia,IDN,2017,3636703.43,2744.76,0.0755,1080843.75,4333.31,9340087.08,19.8551
Peru,PER,2014,5022609.65,3115.9,0.062,2367281.38,4484.24,23802296.12,44.5445
Peru,PER,2001,6668594.1,1459.91,0.0219,2993780.59,1932.38,30242275.35,56.9772
Colombia,COL,2021,6461706.99,2005.8,0.031,3764825.45,2398.51,46081342.48,53.4551
Indonesia,IDN,2005,2859270.34,3258.43,0.114,679963.26,3704.17,39868107.49,47.8711
Colombia,COL,2018,1711895.89,2103.75,0.1229,804054.73,3556.68,12784917.1,13.3974
Argentina,ARG,2015,6041700.75,614.22,0.0102,2372086.07,694.19,16924435.89,31.5961
India,IND,2019,4534656.75,3258.58,0.0719,1202423.98,3543.85,34411638.66,82.1364
Argentina,ARG,2015,4855632.81,1691.6,0.0348,2326205.37,1946.02,19248999.3,27.2453
Argentina,ARG,2017,6817133.38,1652.48,0.0242,3286555.97,1861.15,37145396.51,41.4265
Thailand,THA,2010,5468307.28,1566.48,0.0286,2897895.98,3959.07,1944000.38,2.0947
Vietnam,VNM,2005,7364760.24,176.52,0.0024,2248003.05,203.98,13218261.54,13.8759
Mexico,MEX,2015,4906844.77,1677.58,0.0342,1906910.28,3056.47,6628931.63,63.8706
Colombia,COL,2019,3621716.74,134.45,0.0037,969633.74,108.49,3902730.61,5.3846
Brazil,BRA,2020,2666586.15,1423.84,0.0534,1426205.63,1686.25,23622558.22,29.2651
Thailand,THA,2014,5689634.62,2642.8,0.0464,1413388.93,2761.17,35624854.82,45.105
Mexico,MEX,2011,7746457.6,1280.99,0.0165,3430545.94,905.98,36933893.59,63.0061
Mexico,MEX,2008,4185709.19,530.53,0.0127,2375340.62,821.46,16647481.53,18.3844
Argentina,ARG,2008,2381412.33,3039.89,0.1277,863610.12,4872.11,41634189.43,120.4214
Mexico,MEX,2008,7753271.79,737.85,0.0095,3687735.47,1021.72,2819254.12,3.2972
DR Congo,COD,2008,3028358.4,1829.23,0.0604,1387730.66,1290.18,39684109.71,81.8772
Thailand,THA,2010,331233.3,516.92,0.1561,150087.11,977.15,15296116.14,17.2979
India,IND,2012,4076045.76,1117.58,0.0274,1412024.33,2110.77,6710279.82,10.2951
India,IND,2010,5098208.99,2944.05,0.0577,1824073.11,2331.65,24320945.56,119.9999
Mexico,MEX,2012,3449269.41,1942.83,0.0563,2003839.14,4860.46,48335351.45,68.8719
Brazil,BRA,2001,7548530.08,2245.15,0.0297,2631656.33,774.22,43740367.2,142.756
India,IND,2021,1685029.39,2517.36,0.1494,484355.54,3496.98,23860834.96,102.4116
Peru,PER,2004,608872.08,199.47,0.0328,179745,116.51,11545606.86,11.587
India,IND,2006,7064496.49,3395.39,0.0481,2498177.88,4661.59,29179713.02,34.1462
Indonesia,IDN,2001,2724040.48,1448.79,0.0532,1490782.74,2852.49,7184335.49,13.8048
DR Congo,COD,2016,2662789.59,3410.55,0.1281,1376643.27,4903.08,27181305.27,53.6781
Colombia,COL,2013,3408561.29,2239.21,0.0657,1102566.47,2043.86,33118020.79,117.808
Brazil,BRA,2018,2006554.47,2429.41,0.1211,560744.61,710.83,38661309.17,144.0583
Peru,PER,2022,3552031.99,3047.21,0.0858,1648187.36,4256.14,1908901.89,2.8448
India,IND,2001,4460372.98,1524.31,0.0342,1318359.64,1760.61,23180629.28,39.8548
Colombia,COL,2011,5675859.75,418.43,0.0074,3068905.11,351.01,14293687.54,28.0777
Thailand,THA,2017,5657886.61,2130.92,0.0377,1945128.25,2811.29,36732772.24,38.1214
Vietnam,VNM,2021,7432810.36,1817.27,0.0244,1621300.91,3888.26,40337789.2,40.5637
Argentina,ARG,2002,6877715.92,1859.52,0.027,2110354.84,2717.47,24081499.95,31.102
Thailand,THA,2013,5068789.17,611.2,0.0121,1893581.41,780.97,8415926.79,11.928
Peru,PER,2001,3387413.09,4321.31,0.1276,1937868.82,4684.79,47661285.45,118.3857
Indonesia,IDN,2007,2094992.21,2946.52,0.1406,991020.55,4795.4,34456372.78,55.4956
DR Congo,COD,2018,2004294.87,178.31,0.0089,722596.32,188.54,3823511.02,4.7236
DR Congo,COD,2015,2116225.07,1760.34,0.0832,975464.78,2063.34,31619775.56,51.7294
Vietnam,VNM,2005,2789555.25,1707.56,0.0612,1426846.04,4045.15,5818555.57,12.9181
Vietnam,VNM,2016,5142604.64,2285.63,0.0444,1078099.05,3035.92,24191671.7,27.772
DR Congo,COD,2009,7291619.67,2012.41,0.0276,1506560.11,2672.35,47448321.05,55.4203
Brazil,BRA,2004,1139802.31,2069.09,0.1815,625624.19,2546.5,16856198.06,17.054
Brazil,BRA,2006,7389734.26,3079.74,0.0417,2446065.14,3743.88,8520524.36,83.2699
India,IND,2020,7937447.61,2159.58,0.0272,2634481.22,2931.1,34362839.86,70.416
Peru,PER,2010,6763574.9,2307.91,0.0341,3964883.33,4299.1,9173816.08,11.7662
Peru,PER,2020,7622719.5,2532.23,0.0332,4415668.86,3960.83,36873929.15,70.8606
India,IND,2000,6952980.83,505.01,0.0073,2786418.85,391.91,4303463.07,24.2679
Colombia,COL,2006,2159949.97,1791.62,0.0829,545741.05,1268.42,36775493.41,74.0406
Mexico,MEX,2017,5033569.28,1264.41,0.0251,2292602.95,3412.08,5902482.25,6.5251
DR Congo,COD,2014,3223059.14,825.81,0.0256,1552010.54,1539.12,30293589.69,32.8903
Argentina,ARG,2001,2203796.47,1576.9,0.0716,1069796.75,983.82,40346669.85,87.4326
Brazil,BRA,2005,819760.43,753.67,0.0919,304707.72,1357.22,9361423.71,23.7715
Peru,PER,2002,7748008.8,2104.39,0.0272,3865924.19,2017.32,47524695.15,64.0253
Mexico,MEX,2006,4303221.94,705.71,0.0164,1764791.72,1426.51,13767097.79,20.8611
Mexico,MEX,2017,6010914.41,1784.35,0.0297,2355073,1992.63,41201136.73,51.0482
India,IND,2007,5455666.18,1410.46,0.0259,2913413.64,1260.78,42907431.51,58.1999
DR Congo,COD,2022,5575783.08,2093.16,0.0375,3294825.12,3099.64,9338383,9.6711
Peru,PER,2016,3968241.28,647.3,0.0163,1249399.74,1316.32,5552646.72,11.7798
Brazil,BRA,2019,6490215.31,1338.65,0.0206,1966267.64,1013.1,40150543.32,95.2356
India,IND,2011,7223234.8,2374.07,0.0329,2812694.74,3099.38,1522331.17,2.545
Mexico,MEX,2016,7894516.04,1855.86,0.0235,3374991.82,2152.64,30183362.74,108.3897
DR Congo,COD,2008,6880234.23,1420.03,0.0206,2248585.36,2815.43,5639073.03,5.8715
Vietnam,VNM,2010,4146609.22,1985.04,0.0479,889296.4,2289.25,42681264.76,66.8686
Argentina,ARG,2015,5692675.15,1146.85,0.0201,2008697.6,1386.14,29716396.41,61.4496
Argentina,ARG,2009,3956810,2057.81,0.052,1442166.11,3850.61,23232899.19,85.8117
Vietnam,VNM,2017,2026249.98,1655.58,0.0817,717482.75,2517.75,11219987.41,14.8117
Peru,PER,2016,6485917.32,1042.37,0.0161,1983038.32,647.55,19404268.38,70.7043
India,IND,2018,1207837.35,1794.66,0.1486,630024.96,2805.39,35698195.19,124.4511
Argentina,ARG,2022,4136163.82,3544.56,0.0857,1974568.96,4913.78,12169340.67,22.9649
Vietnam,VNM,2017,4032261.24,2687.15,0.0666,1991857.06,3459.54,17794953.5,52.1668
Mexico,MEX,2021,3182088.36,1238.97,0.0389,1698255.99,1649.43,15941692.29,23.725
India,IND,2002,1625694.26,2858.05,0.1758,711738.77,3461.31,13142482.14,55.7799
Argentina,ARG,2007,5357494.59,356.7,0.0067,2781365.63,473.55,14069298.28,24.991
India,IND,2013,1629893.69,3284.57,0.2015,905312.56,4020.74,32870046.83,67.3877
Indonesia,IDN,2022,2349974.75,2198.11,0.0935,1044536,4701.26,43743060,85.4941
Mexico,MEX,2007,7626239.55,3171.27,0.0416,4450641.64,4387.05,18745289.83,21.1705
Peru,PER,2008,5484524.24,2999,0.0547,2429325.1,4011.81,26942737.96,33.568
Peru,PER,2003,5948243.17,5054.91,0.085,2014100.15,4797.77,38510499.18,112.4614
DR Congo,COD,2012,5197436.66,1458.87,0.0281,1522103.3,2668.34,6546534.65,19.2846
Argentina,ARG,2000,7057980.61,541.84,0.0077,3285236.28,290.94,34539521.07,64.4771
Colombia,COL,2022,4985116.28,4339.85,0.0871,2917740.01,4900.36,37316870.74,72.1726
India,IND,2003,5742349.69,2743.78,0.0478,1401257.33,3003.76,34754138.64,61.0412
Vietnam,VNM,2020,3206700.59,1319.38,0.0411,747012.56,1785.86,726051.96,0.9458
Colombia,COL,2022,2876576.67,2028.45,0.0705,882229.87,2747.25,49792947.01,60.2195
India,IND,2004,1213662.86,1637.11,0.1349,579349.61,912.04,38182840.46,144.0779
Mexico,MEX,2018,6114868.75,1312.4,0.0215,1292326.81,1638.77,14338978.92,21.4916
Peru,PER,2007,5373427.89,2246.73,0.0418,3093140.64,1961.66,33157506.76,60.819
Vietnam,VNM,2015,7730064.4,497.56,0.0064,4037059.37,431.93,11024336.61,14.6491
Colombia,COL,2016,2341883.18,2437.96,0.1041,870711.14,3008.68,9103328.88,11.8637
India,IND,2014,5863398.05,849.06,0.0145,2637535.33,738.89,36158118.92,38.3766
Indonesia,IDN,2002,4543207.39,2144.72,0.0472,2053849.11,3690.12,12870494.79,16.5775
Colombia,COL,2006,4764631.47,4006.74,0.0841,1914760.17,4806.2,17650571.56,52.8236
Argentina,ARG,2003,4487876.73,2314.6,0.0516,2477634.05,1892.58,16828278.77,118.9748
Peru,PER,2006,3187857.63,1677.72,0.0526,1454770.59,3484.58,14837205.78,30.5307
Mexico,MEX,2007,3491947.06,1764.2,0.0505,1354541.79,3429.36,40957489.51,42.5479
DR Congo,COD,2001,7463561.72,1128.28,0.0151,3440826.28,670.94,49338138.43,105.1516
DR Congo,COD,2007,5785253.35,2621.56,0.0453,1664417.58,2582.61,49707948.69,57.9274
Mexico,MEX,2003,4147249.53,3616.58,0.0872,920245.39,3733.66,49698387.78,127.1399
Peru,PER,2001,886170.31,909.09,0.1026,231859.05,1440.17,6224561.58,38.5845
Colombia,COL,2005,3355198.66,1368.29,0.0408,1860076.88,1713.25,36308174.16,37.5543
Vietnam,VNM,2011,7888686.85,2327.15,0.0295,3307492.58,4986.56,16899524.82,37.7031
Argentina,ARG,2022,2280836.48,2208.42,0.0968,990152.67,4719.7,13913086.62,16.4188
Thailand,THA,2004,4351947.49,2383.53,0.0548,1995505.01,3001.01,30804403.14,57.8504
Thailand,THA,2022,5987986.51,553.1,0.0092,1511791.37,359.09,14793139.12,23.1091
Indonesia,IDN,2018,4063924.16,646.42,0.0159,1314028.93,979.85,10654280.06,12.3598
Indonesia,IDN,2012,6460405.6,2012.62,0.0312,2356591.76,3663.8,17201801.11,24
Thailand,THA,2013,2379681.76,2824.67,0.1187,1162408.79,4583.09,198004.39,2.5833
Indonesia,IDN,2016,2559707.2,1596.83,0.0624,919199.4,1557.72,13584652.55,30.57
Argentina,ARG,2021,5266323.85,3518.52,0.0668,1561729.08,4143.25,20158167.75,28.2511
Peru,PER,2016,6835028.29,2249.14,0.0329,3552708.96,2463.39,32126835.01,54.9736
Peru,PER,2012,3768501.57,2666.22,0.0708,1287766.21,1952.36,41569151.35,111.089
Thailand,THA,2020,3374138.08,1932.53,0.0573,1075153.57,4436.2,39158991.7,45.5872
India,IND,2015,6319129.16,1226.15,0.0194,3212398.36,1650.3,41353307.61,72.371
Thailand,THA,2019,1254508.75,616.73,0.0492,253138.66,1129.89,18874281.67,23.7046
Vietnam,VNM,2021,4201555.75,1961.42,0.0467,889227.61,3161.39,18373745.73,21.2868
Colombia,COL,2012,4705249.07,1304.03,0.0277,1947127.48,2648.33,29172362.74,29.6297
Mexico,MEX,2005,4748546.18,1832.51,0.0386,2067846.46,2061.22,47225198.07,51.6003
India,IND,2020,4040776.06,3408.46,0.0844,1756961.44,2093.37,17425708.63,131.9437
Vietnam,VNM,2003,5770718.28,3159.98,0.0548,1369409.99,3469.79,19519611.71,39.6644
Peru,PER,2002,3639873.16,1438.9,0.0395,1924721.94,3587.3,1733191.92,6.4088
Vietnam,VNM,2002,5013684.83,2035.54,0.0406,2840565.85,3729.95,26751454.28,83.1002
Thailand,THA,2003,1110300.07,1532.53,0.138,303701.5,2406.8,12493974.49,17.5586
Thailand,THA,2006,1004608.56,1774.82,0.1767,206859.4,2955.26,15598405.5,72.358
Mexico,MEX,2004,6671993.18,873.25,0.0131,3559266.54,214.97,32135681.94,50.4489
Mexico,MEX,2000,4255017.8,3402.34,0.08,1707970.16,3976.05,19379395.28,24.136
Colombia,COL,2006,2373983.35,995.05,0.0419,910328.49,1180.43,32360744.12,40.2102
Peru,PER,2018,7909614.38,1385.1,0.0175,2178411.77,2081.79,8898284.7,40.2526
Peru,PER,2000,4550801.25,1189.73,0.0261,2054826.85,1559.71,34551636.53,52.4795
Thailand,THA,2002,7475891.93,1388.09,0.0186,3427716.98,1978.8,24759431.81,55.0972
Indonesia,IDN,2010,2493212.77,196.6,0.0079,773653.97,196.51,6023928.21,7.711
Mexico,MEX,2006,3206010.19,1411.26,0.044,714960.66,1278.2,43110013.93,109.5629
Brazil,BRA,2020,1227074.62,806.36,0.0657,593542.33,1525.64,19009934.09,29.7581
Colombia,COL,2008,1887531.25,1622.56,0.086,554080.45,2116.76,31007578.02,31.315
India,IND,2008,3082757.23,2598.27,0.0843,1305881.23,2063.26,35504576.24,112.3651
Thailand,THA,2013,7095253.4,1262.95,0.0178,4133691.84,699.59,26124176.02,82.5788
Indonesia,IDN,2017,6887400.6,3834.95,0.0557,2347578.96,4454.43,16596845.88,38.8836
India,IND,2014,7714276.61,3093.24,0.0401,4448980.71,2922.45,22897586.3,67.8492
Thailand,THA,2018,4880132.64,2739.34,0.0561,1271121.56,3368.47,2187741.04,4.9999
India,IND,2020,2804565.94,1006.56,0.0359,929991.44,789.27,19822439.73,86.3286
DR Congo,COD,2008,4318949.64,777.97,0.018,1820907.14,752.94,27682376.14,45.4613
DR Congo,COD,2013,2195068.93,1328.4,0.0605,1145928.07,796.61,11909517.55,106.7885
India,IND,2019,3885194.31,1650.26,0.0425,1360978.3,2478.22,19556502.34,37.6337
Colombia,COL,2014,2536105.36,544.28,0.0215,1197171.85,1032.72,4189958.93,4.6009
Argentina,ARG,2021,6161377.47,1495.81,0.0243,2269863,1699.25,48345069.06,52.5908
Brazil,BRA,2007,4824839.69,1501.19,0.0311,1978695.27,1373.47,21200295.42,37.9289
India,IND,2015,5469277.57,2842.93,0.052,1463807.39,3902.79,5811798.21,8.0181
Brazil,BRA,2022,7829740.59,693.33,0.0089,2830068.66,587.71,38110181.06,40.5435
Argentina,ARG,2001,6509372.07,2883.32,0.0443,3679351.4,4851.65,11690094.92,15.1189
Peru,PER,2019,1536884.21,1306.57,0.085,618164.9,1043.45,38406338.54,47.335
India,IND,2004,4365374.09,1521.59,0.0349,2085017.83,2416.99,2790242.91,7.2259
Brazil,BRA,2020,3798351.09,1118.9,0.0295,1698225.73,716.12,38426533.3,48.4892
Peru,PER,2015,843784.06,271.07,0.0321,270770.15,340.79,1547202.47,2.3225
Mexico,MEX,2021,3496913.99,864.24,0.0247,1719843.45,1161.31,38961050.16,54.1582
Indonesia,IDN,2008,4481691.92,976.63,0.0218,2381536.34,330.63,49664137.21,92.136
Peru,PER,2001,6832507.35,2554.69,0.0374,3575767.21,4562.71,19821633.01,88.1677
Peru,PER,2004,4708335.09,728.72,0.0155,1080046.8,362.48,24500514.66,48.2062
Brazil,BRA,2006,2277479.44,1242.14,0.0545,1274540.62,1709.28,44276725.82,57.3318
Argentina,ARG,2022,6670317.12,793.01,0.0119,3785605.5,873.18,28252673.25,34.6102
Vietnam,VNM,2007,5000715.89,1065.28,0.0213,1213257.22,848.25,42680416.2,56.5513
Colombia,COL,2000,1272785.44,1118.78,0.0879,649970.14,1502.87,40873187.12,43.5788
Colombia,COL,2009,6215780.41,3614.82,0.0582,3492648.56,4854.55,44910117.98,162.593
India,IND,2010,6082603.87,4239.81,0.0697,2573678.74,3029.7,45104860.98,155.8074
Argentina,ARG,2012,6062014.79,1872.68,0.0309,2909650.46,3803.92,2657156.96,4.7718
Argentina,ARG,2012,3170057.76,3347.48,0.1056,964086.96,4396.09,3269649.45,5.5831
Peru,PER,2019,6673488.95,2292.88,0.0344,3842070.16,4496.06,39904869.74,75.6955
DR Congo,COD,2001,4124173.65,1715.05,0.0416,1018887.08,1122.25,49266435.34,155.0255
Mexico,MEX,2009,1001370.53,1696.16,0.1694,247591.72,3062.96,11985884.29,14.0032
Peru,PER,2013,6046093.13,1217.1,0.0201,1890707.14,1983.29,1385075.11,4.5824
Thailand,THA,2018,6114756.95,2255.57,0.0369,3205874.14,4685.59,20223264.75,90.9705
Vietnam,VNM,2007,2629456.03,2325.62,0.0884,1362266.72,3801.04,18822376.8,26.7042
Vietnam,VNM,2003,2327768.62,717.13,0.0308,792025.7,764.52,18213920.77,61.8986
Mexico,MEX,2011,6329988.72,2551.19,0.0403,1330066.45,4917.63,19728058.67,88.339
DR Congo,COD,2017,4129113.33,1036.01,0.0251,868144.94,1054.8,32902711.31,61.6467
Vietnam,VNM,2019,3250953.51,1853.13,0.057,1129143.19,3128.15,19349432.71,20.0396
Vietnam,VNM,2003,2652324.32,547.57,0.0206,1251310.36,209.85,29677501.2,41.2565
DR Congo,COD,2020,6156137.75,2169.82,0.0352,3247527.73,2730.25,8262339.48,18.6249
DR Congo,COD,2002,4488664.09,1510.94,0.0337,1905023.89,2773.57,30173188.73,46.8949
Peru,PER,2012,2985943.71,637.18,0.0213,848949.08,1046.15,19380561.94,22.5714
Indonesia,IDN,2020,1599994.25,2490.46,0.1557,517873.96,2619.59,32999457.49,41.2285
DR Congo,COD,2002,1613668.56,2016.57,0.125,562366.04,3731.18,1045796.8,1.054
Indonesia,IDN,2003,5560565.34,643.12,0.0116,1713249.49,969.19,10544825.38,13.6557
Thailand,THA,2016,4478163.47,1324.13,0.0296,1213100.52,3602.13,5952374.87,7.7214
Brazil,BRA,2011,3161152.98,2994.22,0.0947,1380237.52,3768.26,16276095.66,37.7174
Argentina,ARG,2014,1399910.92,2744.1,0.196,629279.46,4945.25,39137047.81,70.0156
Vietnam,VNM,2005,5160969.13,2387.62,0.0463,1685660.5,4969.74,9845572.13,10.4377
Brazil,BRA,2005,6326963.29,1930.51,0.0305,3709816.17,3489.46,48617049.19,51.2479
Argentina,ARG,2021,5753344.06,3414.8,0.0594,3065085.55,3863.21,33665114.55,129.0431
Argentina,ARG,2022,4887185.47,1431.99,0.0293,1149415.22,854.09,25044371.39,107.9964
Vietnam,VNM,2020,4470061.93,3898.57,0.0872,1766977.85,4182.27,38787541.74,135.6573
Colombia,COL,2003,2934335.53,2351.16,0.0801,1383909.11,3153.48,680822.33,1.9433
Vietnam,VNM,2010,1231962.19,731.91,0.0594,733315.92,1113.63,28614773.68,35.8717
Peru,PER,2018,4465027.29,2662.13,0.0596,2629777.03,3737.31,17104218.05,24.957
Peru,PER,2021,2708921.91,2799.68,0.1034,1167764.44,4023.62,31432192.18,36.8749
Colombia,COL,2019,6008184.37,1101.58,0.0183,1258012.12,2387.1,40884622.16,62.0507
Colombia,COL,2000,7476370.39,990.18,0.0132,4142703.17,1163.34,40538936.17,74.1582
DR Congo,COD,2016,2486005.67,2966.57,0.1193,1095880.39,3995.8,7787406.98,11.9436
Colombia,COL,2022,3679909.73,2644.06,0.0719,1751022.59,3881.47,42545057.54,53.2556
Vietnam,VNM,2019,7137575.01,1737.68,0.0243,2165321.18,2495.11,17030976.62,22.9768
Brazil,BRA,2000,4455514.42,1280.31,0.0287,1021735.71,1458.88,36205829.18,78.4589
Mexico,MEX,2008,6472360.32,4088.33,0.0632,1435731.97,4994.77,19131560.3,22.8679
Thailand,THA,2005,6265129.51,1509.67,0.0241,1545076.9,1259.62,49013472,49.1727
Brazil,BRA,2020,1473819.89,682.26,0.0463,622931.67,175.73,36053921.4,42.0211
DR Congo,COD,2022,5447484.12,2384.79,0.0438,1686933.44,2840.41,15457881.68,33.5848
Indonesia,IDN,2000,2890852.32,624.62,0.0216,1690401.33,877.94,12967337.28,15.0351
Brazil,BRA,2022,7760479.84,1319.24,0.017,4146379.71,2618.58,28588611.44,54.4823
Peru,PER,2014,3969623.48,3512.85,0.0885,1976815.55,4656.32,13662776.06,16.3738
Indonesia,IDN,2002,3975615.43,1731.97,0.0436,2335671.61,4342.03,1748712.03,4.3032
Peru,PER,2002,5252774.8,3694.09,0.0703,1487569.72,4983.32,49636615.93,105.3262
Colombia,COL,2011,3338053.3,3981.37,0.1193,1232220.35,4788.34,31226787.22,92.8011
Peru,PER,2021,1633409.92,2067.55,0.1266,473862.89,1603.43,32886359.61,78.9656
Argentina,ARG,2011,7193053.1,1138.51,0.0158,3613036.53,1780.81,17148876.82,40.3083
Peru,PER,2009,4497616,4026.18,0.0895,2662775.63,4697.41,28556733.59,91.7601
Thailand,THA,2000,3904265.94,1321.82,0.0339,1240254.65,2960.14,28213088.97,29.8008
Mexico,MEX,2010,5136353.99,798.39,0.0155,2226210.21,1555.2,6842534,7.0152
Vietnam,VNM,2009,2976807.33,1806.86,0.0607,1046057.14,3484.07,47608887.91,53.7268
Indonesia,IDN,2013,3186457.65,469.65,0.0147,1552055.98,803.72,230911.52,0.2376
Argentina,ARG,2007,3249993.81,2181.63,0.0671,1343591.22,2055.22,25509298.45,77.2733
Argentina,ARG,2005,6035556.72,2200.72,0.0365,1360136.06,1198.82,37336414.79,118.3247
Colombia,COL,2017,5386836.83,1951.18,0.0362,3068619.07,3845.78,42548423.2,50.9167
Mexico,MEX,2011,4351515.48,1409.62,0.0324,2434044.03,1259.61,43431721.56,45.2984
Mexico,MEX,2002,2382246.01,2417.44,0.1015,520496.19,3237.09,32103393.66,78.5124
India,IND,2011,6994652.84,2905.58,0.0415,4070625.01,3843.66,28305949.6,30.3764
India,IND,2020,7234383.02,720.77,0.01,1689503.62,1637.01,5871549.57,6.3284
DR Congo,COD,2007,2968730.93,937.49,0.0316,1395539.3,955.73,42124949.26,63.6109
Mexico,MEX,2016,6085908.2,4419.65,0.0726,1719475.86,4656.61,49250564.29,77.1621
Brazil,BRA,2017,2801737.94,1325.76,0.0473,561410.11,2214.48,38221740.68,73.7513
Peru,PER,2015,2155481.75,912.15,0.0423,1289806.05,1810.54,6349839.71,21.7379
Colombia,COL,2011,6585938.79,845.47,0.0128,1650643.69,708.71,41702992.44,56.1956
Colombia,COL,2012,3670938.37,2364.68,0.0644,1035972.54,3718.42,33084561.17,62.1466
Indonesia,IDN,2021,2631139.34,1277.63,0.0486,558970.93,591.74,44755871.5,86.4615
DR Congo,COD,2011,4818002.52,3719.88,0.0772,1134484.16,4449.79,42380807.66,113.9682
Argentina,ARG,2008,1411733.48,1461.51,0.1035,414406.17,1434.45,40702952.39,70.9476
India,IND,2020,1447257.24,439.04,0.0303,311719.2,294.67,46247890.94,60.2725
DR Congo,COD,2018,6242795.16,680.89,0.0109,1956171.81,1435.14,18274380.21,22.1419
Argentina,ARG,2021,7259290.95,2455.62,0.0338,1495921.49,4648.89,5470570.65,6.9905
Argentina,ARG,2018,5777834.64,2939.89,0.0509,2008459.2,1393.94,42636772.14,132.5278
